plot;Shrub_ID;S1;S2;S3;S4;S5;S6;S7;S8;;;;;;;;;;;;;;;;;;
V23;0416;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
U19;1111;M ;DiBu;LiFo;M;PhHi;M;DiBu;RhOv;;;;;;;;;;;;;;;;;;
U19;1003;D;M;M;M;M;M;M;DiBu;;;;;;;;;;;;;;;;;;
U19;1116;M ;M;M;DiBu;M;M;M;DiBu;;;;;;;;;;;;;;;;;;
V18;0704;M;M;M;M;M;M;ViSe;ItOm;;;;;;;;;;;;;;;;;;
V18;0714;M;M;M;M;M;M;M;M;;;;;;;;;;;;;;;;;;
V18;0216;ViSe;M;M;M;M;M;M;ItOm;;;;;;;;;;;;;;;;;;
V19;0217;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
V19;0503;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
F28;1412;M;M;DiBu;M;M;M;M;M;;;;;;;;;;;;;;;;;;
F28;1510;DiBu;M;M;M;M;M;M;DiBu;;;;;;;;;;;;;;;;;;
F28;0600;M;PhHi;DiBu;DiBu;DiBu;DiBu;ViSe;M;;;;;;;;;;;;;;;;;;
F29;0307;M;M;M;ViSe;M;M;M;M;;;;;;;;;;;;;;;;;;
G29;0710;M;M;M;M;M;M;M;M;;;;;;;;;;;;;;;;;;
G29;0807;M;M;M;M;DiBu;M;M;M;;;;;;;;;;;;;;;;;;
G28;0513;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
G28;0206;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
O26;0208;M;HyCh;M;M;M;M;ViSe;D;;;;;;;;;;;;;;;;;;
O26;1509;ViSe;M;M;M;M;M;SyBu;DiBu;;;;;;;;;;;;;;;;;;
O26;1716;M;M;SyBu;DiBu;HyCh;M;M;DiBu;;;;;;;;;;;;;;;;;;
O26;1001;DiBu;M;M;M;SyBu;M;M;SyBu;;;;;;;;;;;;;;;;;;
O26;1705;M;M;M;M;M;M;M;M;;;;;;;;;;;;;;;;;;
O26;1505;SyBu;M;M;M;M;M;DiBu;SyBu;;;;;;;;;;;;;;;;;;
O27;1000;M;M;M;M;M;SyBu;M;DiBu;;;;;;;;;;;;;;;;;;
O27;0502;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
L21;0211;M;DiBu;M;M;SyBu;M;M;PhHi;;;;;;;;;;;;;;;;;;
L21;0505;SyBu;M;DiBu;M;ViSe;DiBu;M;DiBu;;;;;;;;;;;;;;;;;;
L21;1406;RhSi;M;M;ViSe;RhSi;M;PhHi;M;;;;;;;;;;;;;;;;;;
L21;0103;M;M;M;M;RhSi;M;M;M;;;;;;;;;;;;;;;;;;
L21;0403;M;ViSe;PhHi;SyBu;DiBu;M;PhHi;M;;;;;;;;;;;;;;;;;;
L21;1010;M;DiBu;M;SyBu;M;M;M;M;;;;;;;;;;;;;;;;;;
M22;0203;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
M22;1001;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
Q3;1408;M;M ;DiBu;DiBu;M ;M;DiBu;M;;;;;;;;;;;;;;;;;;
Q3;0608;M;M ;M;M;DiBu;M;M;DiBu;;;;;;;;;;;;;;;;;;
Q3;0117;M;M ;M;M;M ;DiBu;M;M;;;;;;;;;;;;;;;;;;
R2;0413;M;M ;M;ViSe;M ;M;M;M;;;;;;;;;;;;;;;;;;
R2;0713;M;M ;M;M;ViSe;M;M;M;;;;;;;;;;;;;;;;;;
R2;0502;ViSe;M ;M;M;M ;M;M;M;;;;;;;;;;;;;;;;;;
R3;1113;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
R3;1414;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
Q18;1515;M;M;DiBu;DiBu;DiBu;DiBu;M;M;;;;;;;;;;;;;;;;;;
Q18;1009;M;M;M;M;M;DiBu;M;DiBu;;;;;;;;;;;;;;;;;;
Q18;0515;M;M;DiBu;M;M;M;M;M;;;;;;;;;;;;;;;;;;
R17;1202;DiBu;M;M;M;DiBu;M;ViSe;M;;;;;;;;;;;;;;;;;;
R17;0511;M;M;M;M;M;DiBu;M;SyBu;;;;;;;;;;;;;;;;;;
R17;0604;M;M;M;ViSe;M;M;M;M;;;;;;;;;;;;;;;;;;
Q17;0303;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
Q17;1213;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
T22;0602;M;M;DiBu;PhHi;M;M;SyBu;M;;;;;;;;;;;;;;;;;;
T22;0704;PhHi;M;M;DiBu;M;M;M;M;;;;;;;;;;;;;;;;;;
T22;1005;M;DiBu;M;M;M;SyBu;DiBu;M;;;;;;;;;;;;;;;;;;
